session_id,time_to_cart,hour_of_cart,day_of_week,views_before_cart,total_events_before_cart,browse_intensity_pre_cart,unique_products_viewed,unique_categories_viewed,unique_brands_viewed,avg_viewed_price,max_viewed_price,min_viewed_price,price_variance_viewed,initial_cart_value,initial_cart_items,avg_cart_item_price,avg_time_between_events,event_acceleration,category_focus_ratio,main_category,target_purchase
00005731-b1c2-4291-a2e4-3b3c87d85114,2.0,13,0,1,1,30.0,1,0,0,38.35,38.35,38.35,0.0,38.35,1,38.35,0.0,0.0,0.0,unknown,0
0002fa4e-1d84-444d-a5bd-06426e80fd07,49.0,5,0,2,2,2.4489795918367347,2,1,1,1588.005,1747.7,1428.31,51004.98605000003,1747.7,1,1747.7,20.0,0.0,1.0,electronics,1
000344bd-5239-413a-b028-a078a777c49d,806.0,11,4,21,21,1.563275434243176,10,1,1,504.97,617.47,411.57,3857.264980000001,565.78,1,565.78,39.4,8.0,1.0,electronics,0
00046b3e-75e1-4759-bec3-ffe819f251bc,139.0,9,4,2,2,0.8633093525179856,2,1,1,164.69,230.28,99.1,8604.096200000002,230.28,1,230.28,32.0,0.0,0.5,electronics,1
00049177-3621-4fef-8551-5addd7103385,5.0,13,5,1,1,12.0,1,0,1,390.94,390.94,390.94,0.0,390.94,1,390.94,0.0,0.0,0.0,unknown,0
0005147a-d597-46bf-9009-45a3871670bd,836.0,12,0,22,22,1.5789473684210527,16,1,2,296.56999999999994,705.01,131.76,16280.522542857141,251.45,1,251.45,39.142857142857146,-125.0,1.0,electronics,0
00051f0e-3d10-428d-aa3d-2a8b4f9c1772,95.0,1,5,1,1,0.6315789473684211,1,1,1,635.25,635.25,635.25,0.0,635.25,1,635.25,0.0,0.0,1.0,electronics,0
00055025-de10-42d3-9606-9ae2744c34ac,43.0,1,5,1,1,1.3953488372093024,1,1,1,1003.85,1003.85,1003.85,0.0,1003.85,1,1003.85,0.0,0.0,1.0,electronics,0
0005f2d4-67af-4d26-b59e-7fac8e399340,12.0,12,5,1,1,5.0,1,0,1,63.32,63.32,63.32,0.0,63.32,1,63.32,0.0,0.0,0.0,unknown,0
0006339e-36cd-43b0-a942-d8eb1723f028,622.0,7,0,12,12,1.157556270096463,3,1,1,180.73583333333332,196.8,172.19,141.07853560606074,172.19,1,172.19,55.72727272727273,98.0,1.0,electronics,0
0006ca24-345c-4c0b-b901-f76b2c959103,619.0,9,6,8,8,0.7754442649434572,7,2,3,227.96249999999998,420.09,142.58,8488.467478571427,142.58,1,142.58,80.57142857142857,71.0,0.875,auto,1
00088bdf-eea4-4ae7-9d0e-c1ca319988fe,45.0,10,5,4,4,5.333333333333333,2,1,1,499.3875,511.72,462.39,608.3622250000009,511.72,1,511.72,12.0,4.0,1.0,electronics,0
0009290a-d29d-48d3-bfa3-1f4c3d303d82,11.0,16,4,1,1,5.454545454545455,1,1,1,684.68,684.68,684.68,0.0,684.68,1,684.68,0.0,0.0,1.0,computers,0
00092ad5-ca04-4c4e-87e3-9b65c61023d0,220.0,9,0,2,2,0.5454545454545455,1,1,1,130.48,130.48,130.48,0.0,130.48,1,130.48,131.0,0.0,1.0,electronics,0
000af2c8-4866-4c00-a20e-797c64094a8a,531.0,9,1,1,1,0.11299435028248588,1,1,1,1015.46,1015.46,1015.46,0.0,1015.46,1,1015.46,0.0,0.0,1.0,electronics,0
000b0cf4-55db-48c0-a3ed-cd23a4702c85,30.0,6,5,2,2,4.0,2,1,1,484.86,486.24,483.48,3.808799999999975,483.48,1,483.48,18.0,0.0,1.0,electronics,0
000b7c98-e5a9-431f-8a98-70284e4b5dab,13.0,8,4,1,1,4.615384615384615,1,1,1,354.64,354.64,354.64,0.0,354.64,1,354.64,0.0,0.0,1.0,electronics,0
000ba51e-8f29-4fe0-99f4-b28fe4a7c881,20.0,6,0,1,1,3.0,1,1,1,592.01,592.01,592.01,0.0,592.01,1,592.01,0.0,0.0,1.0,electronics,0
000c6cd0-1cd8-4b95-bc68-1edcf2a88490,237.0,12,3,3,3,0.7594936708860759,2,1,2,124.13,161.87,48.65,4272.9228,161.87,1,161.87,77.0,20.0,0.6666666666666666,electronics,1
000cbfc8-ff5f-4ccb-9f9b-a13486b5f1c3,114.0,3,2,4,4,2.1052631578947367,2,1,2,337.075,380.96,293.19,2567.857633333332,380.96,1,380.96,31.666666666666668,20.0,1.0,appliances,0
000d15d5-3e7d-4844-ac49-d3ea8735c5b1,44.0,19,6,2,2,2.7272727272727275,1,1,1,191.59,191.59,191.59,0.0,191.59,1,191.59,37.0,0.0,1.0,electronics,0
000d38fc-9166-42f4-b850-c42faa611f84,167.0,15,4,6,6,2.155688622754491,2,1,1,123.29999999999997,128.45,118.15,31.82699999999989,118.15,1,118.15,31.6,-34.0,1.0,appliances,0
000d62ce-51e7-492d-ad2e-48baf826f37d,170.0,7,6,5,5,1.7647058823529411,3,1,1,596.8700000000001,705.01,462.39,7502.5988,705.01,1,705.01,39.5,-79.0,1.0,electronics,1
000ebceb-f7dc-4d99-8606-d274736b5d64,452.0,11,5,5,5,0.6637168141592921,3,1,1,591.7059999999999,643.23,578.06,831.3564800000016,578.06,1,578.06,77.5,50.0,1.0,electronics,0
000f5f3d-e959-49c1-851c-ead11ce70c30,8.0,4,2,1,1,7.5,1,0,1,29.56,29.56,29.56,0.0,29.56,1,29.56,0.0,0.0,0.0,unknown,1
000f6412-7ab5-4374-b3b9-a60dac9ea641,137.0,8,4,3,3,1.3138686131386863,3,1,1,209.16666666666666,218.54,200.66,80.48693333333327,218.54,1,218.54,60.5,99.0,1.0,appliances,0
000fcbc9-3a1e-41e4-855f-5eae061e0877,6234.0,10,2,4,4,0.03849855630413859,3,1,1,226.94500000000002,250.96,190.46,661.8752999999999,250.96,1,250.96,1914.0,4037.0,1.0,electronics,1
00111638-da4c-4a55-a221-86b6933a38fe,87.0,4,6,1,1,0.6896551724137931,1,1,1,23.1,23.1,23.1,0.0,23.1,1,23.1,0.0,0.0,1.0,electronics,1
0011d196-33b0-4923-8133-1cd2f38426d7,437.0,8,6,4,4,0.5491990846681922,3,1,1,1472.9325,1619.09,1415.48,9532.364358333329,1428.58,1,1428.58,46.0,15.0,1.0,electronics,0
001247bd-236e-452d-a5c9-e639b73a5051,30.0,11,1,1,1,2.0,1,1,1,521.25,521.25,521.25,0.0,521.25,1,521.25,0.0,0.0,1.0,electronics,1
00127333-7942-4a40-81ee-9eb4358e1ef3,95.0,11,3,3,3,1.8947368421052633,2,1,1,837.08,1003.86,753.69,20861.676299999992,1003.86,1,1003.86,32.5,17.0,1.0,electronics,0
0012820e-3c12-42d0-a8e2-fe0f0d442cbe,23.0,3,0,1,1,2.608695652173913,1,1,1,111.7,111.7,111.7,0.0,111.7,1,111.7,0.0,0.0,1.0,electronics,1
0012913b-89bf-474d-b6d0-bdafe7ec094d,357.0,15,3,9,9,1.5126050420168067,5,1,2,193.70222222222222,975.56,89.65,85987.92636944444,99.71,1,99.71,39.375,-52.0,1.0,electronics,0
0013207c-6a0e-4be6-a8a3-48b71ece2a26,31.0,4,4,1,1,1.9354838709677418,1,1,1,250.91,250.91,250.91,0.0,250.91,1,250.91,0.0,0.0,1.0,electronics,1
001387fa-64a0-4ef0-901c-dfa70aeb7fdd,7.0,9,5,1,1,8.571428571428571,1,1,1,764.34,764.34,764.34,0.0,764.34,1,764.34,0.0,0.0,1.0,electronics,0
0014f403-d138-4463-a9f6-0dcfdb9584ad,10.0,17,6,1,1,6.0,1,1,1,369.77,369.77,369.77,0.0,369.77,1,369.77,0.0,0.0,1.0,computers,0
