"Cart Recovery A/B","Warenkorb-Wiederherstellung A/B"
"Treatment Share (%)","Anteil Testgruppe (%)"
"Risk Threshold","Risikoschwelle"
"Intervention Source","Interventionsquelle"
"Trigger","Auslöser"
"Gemini API Key","Gemini-API-Schlüssel"
"Live Gemini","Live-Gemini"
"Pre-generated bank","Vorgenerierte Sammlung"
"On cart load","Beim Laden des Warenkorbs"
"On exit intent","Bei Verlassensabsicht"
"After idle","Nach Inaktivität"
"Dismiss","Schließen"
"Percentage of eligible sessions assigned to the treatment group.","Prozentsatz der berechtigten Sitzungen in der Testgruppe."
"Show the intervention when P(abandon) is at or above this value (0-1).","Intervention anzeigen, wenn P(Abbruch) diesen Wert erreicht oder übersteigt (0-1)."
"Used only when Intervention Source is Live. Stored encrypted.","Wird nur verwendet, wenn die Interventionsquelle Live ist. Verschlüsselt gespeichert."
