"Cart Recovery A/B","Sepet Kurtarma A/B"
"Treatment Share (%)","Müdahale Grubu Oranı (%)"
"Risk Threshold","Risk Eşiği"
"Intervention Source","Müdahale Kaynağı"
"Trigger","Tetikleyici"
"Gemini API Key","Gemini API Anahtarı"
"Live Gemini","Canlı Gemini"
"Pre-generated bank","Önceden üretilmiş havuz"
"On cart load","Sepet yüklendiğinde"
"On exit intent","Çıkış niyetinde"
"After idle","Boşta kaldıktan sonra"
"Dismiss","Kapat"
"Percentage of eligible sessions assigned to the treatment group.","Müdahale grubuna atanan uygun oturumların yüzdesi."
"Show the intervention when P(abandon) is at or above this value (0-1).","P(terk) bu değere eşit veya üzerindeyken müdahaleyi göster (0-1)."
"Used only when Intervention Source is Live. Stored encrypted.","Yalnızca Müdahale Kaynağı Canlı iken kullanılır. Şifreli saklanır."
